descricao;empenhado;liquidado;pago
"09122143322880000";"596.990,41";"444.302,80";"444.302,80"
"09122228720190000";"11.514.392,35";"8.438.027,88";"8.405.613,64"
"09242228920530000";"4.304.668,50";"4.304.668,50";"4.304.668,50"
"09272143520210000";"14.568.118,29";"7.503.648,10";"7.503.648,10"
"09272145820200000";"309,09";"309,09";"309,09"
"09272228720090000";"359.347.034,85";"359.347.034,85";"359.347.034,85"
"09272228720100000";"271.339.473,55";"271.339.473,55";"271.339.473,55"
"09272228720110000";"84.099.403,88";"84.099.403,88";"84.099.403,88"
"09272228720130000";"9.529.699,61";"9.529.699,61";"9.529.699,61"
"09272228720140000";"39.527.202,71";"39.527.202,71";"39.527.202,71"
"09272228720150000";"15.374.131,02";"15.374.131,02";"15.374.131,02"
"09272228720160000";"8.302.342,94";"8.302.342,94";"8.302.342,94"
"09272228720180000";"17.059.675,28";"17.059.675,28";"17.052.773,77"
"09272228722890000";"8.123.776,57";"8.123.776,57";"8.123.776,57"
"09274228980000000";"7.961.292,37";"7.961.292,37";"7.961.292,37"
"10128143322090000";"459.416,76";"343.231,02";"325.821,40"
"10128143322390000";"47.261,85";"23.261,85";"23.261,85"
"10243146580285242";"400.000,00";"400.000,00";"400.000,00"
"10244146580285234";"1.200.000,00";"1.200.000,00";"1.200.000,00"
"10301146511750000";"274.281,30";"219.372,80";"28.223,44"
"10301146511880000";"43.595,16";"29.203,92";"29.203,92"
"10301146580285023";"0,00";"0,00";"0,00"
"10301146580285120";"150.000,00";"150.000,00";"150.000,00"
"10301146580285135";"70.000,00";"70.000,00";"70.000,00"
"10301146580285138";"70.000,00";"70.000,00";"70.000,00"
"10301146580285222";"50.000,00";"50.000,00";"0,00"
"10301146580285341";"250.000,00";"250.000,00";"250.000,00"
"10301146580285409";"50.000,00";"50.000,00";"0,00"
"10302143511730000";"29.572.639,65";"12.442.392,69";"11.420.565,08"
"10302143512170000";"572.573,86";"568.376,68";"424.152,27"
"10302146511740000";"306.846.196,00";"304.545.718,89";"284.154.840,35"
"10302146511760000";"39.780.195,30";"37.877.688,17";"34.478.882,30"
"10302146511790000";"216.328,53";"139.853,45";"115.872,21"
"10302146511800000";"584.653,73";"584.270,16";"584.270,16"
"10302146511820000";"104.635,75";"76.129,54";"58.011,61"
"10302146511830000";"3.977,89";"3.977,89";"3.977,89"
"10302146511840000";"3.148,76";"3.148,76";"3.148,76"
"10302146511850000";"42.707,49";"23.163,28";"17.707,49"
"10302146511860000";"479.037,45";"350.553,88";"331.442,30"
"10302146511890000";"612.492,49";"562.566,50";"556.364,62"
"10302146511900000";"4.107.559,73";"3.201.793,04";"982.149,99"
"10302146511910000";"29.101,26";"13.261,28";"9.846,21"
"10302146512160000";"34.655,18";"16.350,00";"16.350,00"
"10302146522070000";"373.514.944,27";"317.947.479,36";"261.952.995,60"
"10302146522080000";"11.701.247,34";"6.469.705,56";"6.211.501,96"
"10302146522350000";"1.184.219,99";"325.422,89";"321.042,89"
"10302146522360000";"52.308.269,00";"41.835.614,24";"29.924.741,64"
"10302146522370000";"31.525.032,99";"24.936.616,91";"21.608.099,83"
"10302146580285105";"41.790,56";"37.790,58";"9.589,00"
"10302146580285212";"800.000,00";"800.000,00";"800.000,00"
"10302146580285252";"400.000,00";"400.000,00";"0,00"
"10302146580285269";"1.400.000,00";"1.400.000,00";"1.400.000,00"
"10302146580285407";"100.000,00";"100.000,00";"0,00"
"10302228622060000";"35.974.028,15";"32.095.478,57";"28.866.984,95"
"10302228622310000";"24.490.159,48";"24.490.159,48";"24.357.930,30"
"10302228622380000";"40.567.377,31";"36.473.971,43";"35.829.793,04"
"10302228920490000";"23.576.581,74";"23.576.581,74";"23.534.532,09"
"10302228920700000";"747.409.886,58";"747.409.886,58";"746.907.820,38"
"10302228920700001";"11.500.554,70";"11.500.554,70";"11.500.554,70"
"10303146511720000";"3.158.338,34";"2.464.697,57";"404.763,30"
"10303146580285170";"100.000,00";"100.000,00";"100.000,00"
"10303146580285249";"120.000,00";"120.000,00";"120.000,00"
"10303146580285308";"50.000,00";"50.000,00";"50.000,00"
"10303146580285337";"100.000,00";"100.000,00";"100.000,00"
"10303146580285377";"20.000,00";"20.000,00";"0,00"
"10303146580285427";"30.000,00";"30.000,00";"30.000,00"
"10304146511780000";"1.184.499,32";"1.019.538,77";"988.295,00"
"10305146511770000";"9.192.452,96";"8.373.905,89";"7.790.042,23"
"10571146580285279";"84.484,13";"84.484,13";"84.484,13"
"10572146580285285";"50.000,00";"50.000,00";"50.000,00"
"10604146580285171";"150.000,00";"150.000,00";"150.000,00"
"10604146580285172";"150.000,00";"150.000,00";"150.000,00"
"10604146580285418";"50.000,00";"50.000,00";"50.000,00"
"10785146580285017";"800.947,84";"800.947,84";"800.947,84"
"11122228621790000";"6.106.099,08";"5.908.631,41";"5.672.251,13"
"11331145780285370";"20.000,00";"0,00";"0,00"
"11333146180285286";"50.000,00";"50.000,00";"0,00"
"11333146280285340";"115.000,00";"115.000,00";"115.000,00"
"11333146280285367";"25.000,00";"25.000,00";"25.000,00"
"11333146280285369";"35.000,00";"35.000,00";"35.000,00"
"11334144780285348";"20.000,00";"20.000,00";"0,00"
"11334146211490000";"5.602.283,65";"5.402.987,82";"5.285.547,67"
"11334146211500000";"6.278.050,25";"6.261.540,15";"6.253.992,13"
"11334146280285169";"30.000,00";"30.000,00";"30.000,00"
"11334146280285247";"120.000,00";"120.000,00";"120.000,00"
"11334146280285359";"20.000,00";"20.000,00";"20.000,00"
"11334146280285388";"185.000,00";"185.000,00";"185.000,00"
"11695143611520000";"56.000,00";"36.130,63";"36.130,63"
"11695146311510000";"1.412.060,74";"1.357.731,11";"1.207.612,49"
"12128143321340000";"320.692,49";"316.912,49";"271.511,49"
"12243145080285055";"500.000,00";"500.000,00";"500.000,00"
"12244145080285059";"500.000,00";"500.000,00";"0,00"
"12272228720120000";"469.304.930,00";"469.304.930,00";"469.304.930,00"
"12331143310940000";"178.000,00";"178.000,00";"178.000,00"
"12333145080285335";"60.000,00";"60.000,00";"0,00"
"12361143510410000";"11.942.061,15";"3.177.186,79";"2.471.939,07"
"12361145010370000";"2.394.967,55";"1.548.226,62";"1.285.627,99"
"12361145010380000";"401.739,62";"401.739,62";"401.739,62"
"12361145010420000";"96.737.152,28";"46.949.591,85";"41.181.597,26"
"12361145010950000";"158.064.043,42";"138.344.225,50";"138.013.960,59"
"12361145010960000";"48.839.506,37";"31.964.694,91";"31.964.694,91"
"12361145020900000";"73.219.192,93";"53.062.733,95";"49.837.825,01"
"12361145020940000";"62.681.258,91";"41.665.490,52";"38.119.790,52"
"12361145020950000";"34.985.330,41";"15.873.699,81";"15.454.329,95"
"12361145080285029";"20.000,00";"20.000,00";"20.000,00"
"12361145080285032";"20.000,00";"20.000,00";"20.000,00"
"12361145080285033";"20.000,00";"20.000,00";"0,00"
"12361145080285036";"20.000,00";"20.000,00";"0,00"
"12361145080285038";"20.000,00";"20.000,00";"0,00"
"12361145080285040";"20.000,00";"20.000,00";"20.000,00"
"12361145080285041";"20.000,00";"20.000,00";"20.000,00"
"12361145080285043";"20.000,00";"20.000,00";"0,00"
"12361145080285045";"20.000,00";"20.000,00";"20.000,00"
"12361145080285046";"20.000,00";"20.000,00";"20.000,00"
"12361145080285047";"100.000,00";"100.000,00";"100.000,00"
"12361145080285049";"20.000,00";"20.000,00";"0,00"
"12361145080285179";"20.000,00";"20.000,00";"20.000,00"
"12361145080285180";"20.000,00";"20.000,00";"20.000,00"
"12361145080285181";"20.000,00";"20.000,00";"0,00"
"12361145080285183";"20.000,00";"20.000,00";"20.000,00"
"12361145080285190";"20.000,00";"20.000,00";"20.000,00"
"12361145080285192";"20.000,00";"20.000,00";"20.000,00"
"12361145080285193";"20.000,00";"20.000,00";"20.000,00"
"12361145080285197";"20.000,00";"20.000,00";"0,00"
"12361145080285324";"25.000,00";"25.000,00";"25.000,00"
"12361228620890000";"85.454.642,77";"53.234.933,77";"47.266.184,11"
"12361228822230000";"38.159,09";"38.159,09";"38.159,09"
"12361228920930000";"270.643.204,88";"270.643.204,88";"269.769.813,48"
"12361228921380000";"646.399.865,98";"646.399.865,98";"637.671.625,48"
"12361228921390000";"8.584.108,42";"8.584.108,42";"8.584.108,42"
"12361228921400000";"2.664.430,90";"2.664.430,90";"2.664.430,90"
"12362145010390000";"96.364.769,28";"74.268.675,97";"58.778.363,63"
"12362145010400000";"28.246.499,56";"12.984.396,09";"7.975.585,78"
"12362145021360000";"27.648.916,55";"14.019.655,73";"13.808.092,64"
"12362145080285035";"20.000,00";"20.000,00";"0,00"
"12362145080285042";"20.000,00";"20.000,00";"20.000,00"
"12362145080285044";"20.000,00";"20.000,00";"20.000,00"
"12362145080285053";"20.000,00";"20.000,00";"0,00"
"12362145080285182";"20.000,00";"20.000,00";"20.000,00"
"12362145080285259";"40.000,00";"40.000,00";"40.000,00"
"12362145120980000";"6.859.441,70";"4.892.243,39";"4.472.922,80"
"12362145210440000";"855.905,82";"620.605,52";"597.532,43"
"12362228920810000";"4.344.395,70";"4.344.395,70";"4.328.371,86"
"12362228921370000";"143.921.843,63";"143.921.843,63";"143.921.843,63"
"12363143810240000";"18.485.732,53";"16.317.360,15";"16.238.387,26"
